"group","val"
"Rural",396
"Rural",339
"Rural",208
"Rural",170
"Rural",213
"Rural",208
"Rural",361
"Rural",239
"Rural",191
"Rural",338
"Rural",411
"Rural",222
"Rural",263
"Rural",314
"Rural",196
"Rural",171
"Rural",161
"Rural",371
"Rural",190
"Rural",219
"Rural",157
"Rural",164
"Rural",237
"Rural",170
"Rural",175
"Rural",156
"Rural",301
"Rural",426
"Rural",250
"Rural",252
"Rural",211
"Rural",206
"Rural",339
"Rural",232
"Rural",149
"Rural",157
"Rural",222
"Rural",228
"Rural",313
"Rural",242
"Rural",153
"Rural",281
"Rural",188
"Rural",233
"Rural",234
"Rural",430
"Rural",407
"Rural",393
"Rural",212
"Rural",243
"Rural",156
"Rural",160
"Rural",224
"Rural",333
"Rural",154
"Rural",182
"Rural",329
"Rural",295
"Rural",358
"Rural",395
"Rural",317
"Rural",307
"Rural",188
"Rural",153
"Rural",165
"Rural",259
"Rural",173
"Rural",182
"Rural",196
"Rural",392
"Rural",276
"Rural",565
"Rural",376
"Rural",179
"Rural",323
"Rural",255
"Rural",266
"Rural",262
"Rural",217
"Rural",319
"Rural",279
"Rural",197
"Rural",261
"Rural",355
"Rural",273
"Rural",170
"Rural",178
"Rural",304
"Rural",152
"Rural",245
"Rural",256
"Rural",157
"Rural",229
"Rural",263
"Rural",183
"Rural",206
"Rural",186
"Rural",215
"Rural",364
"Rural",299
"Rural",474
"Rural",279
"Rural",217
"Rural",207
"Rural",341
"Rural",180
"Rural",155
"Rural",235
"Rural",426
"Rural",287
"Rural",174
"Rural",157
"Rural",182
"Rural",329
"Rural",180
"Rural",172
"Rural",160
"Rural",340
"Rural",251
"Rural",196
"Rural",226
"Rural",192
"Rural",253
"Rural",206
"Rural",174
"Rural",322
"Rural",237
"Rural",194
"Rural",239
"Rural",338
"Rural",189
"Rural",304
"Rural",445
"Rural",154
"Rural",165
"Rural",395
"Rural",250
"Rural",263
"Rural",274
"Rural",263
"Rural",305
"Rural",540
"Rural",181
"Rural",203
"Rural",292
"Rural",172
"Rural",159
"Rural",338
"Rural",192
"Rural",162
"Rural",512
"Rural",354
"Rural",153
"Rural",387
"Rural",184
"Rural",214
"Rural",197
"Rural",229
"Rural",376
"Rural",319
"Rural",268
"Rural",245
"Rural",152
"Rural",355
"Rural",158
"Rural",309
"Rural",172
"Rural",159
"Rural",189
"Rural",217
"Rural",160
"Rural",215
"Rural",193
"Rural",158
"Rural",223
"Rural",390
"Rural",187
"Rural",241
"Rural",196
"Rural",323
"Rural",285
"Rural",188
"Rural",342
"Rural",176
"Rural",150
"Rural",311
"Rural",244
"Rural",194
"Rural",580
"Rural",317
"Rural",386
"Rural",360
"Rural",531
"Rural",256
"Rural",148
"Rural",251
"Rural",260
"Rural",246
"Rural",282
"Rural",390
"Rural",256
"Rural",253
"Rural",246
"Rural",324
"Rural",431
"Rural",148
"Rural",254
"Rural",250
"Rural",192
"Rural",221
"Rural",243
"Rural",334
"Rural",246
"Rural",330
"Rural",236
"Rural",243
"Rural",165
"Rural",159
"Rural",188
"Rural",237
"Rural",294
"Rural",247
"Rural",378
"Rural",166
"Rural",228
"Rural",269
"Rural",321
"Rural",296
"Rural",199
"Rural",234
"Rural",245
"Rural",186
"Rural",488
"Rural",385
"Rural",194
"Rural",291
"Rural",320
"Rural",569
"Rural",193
"Rural",230
"Rural",169
"Rural",189
"Rural",166
"Rural",231
"Rural",285
"Rural",328
"Rural",225
"Rural",254
"Rural",275
"Rural",249
"Rural",236
"Rural",154
"Rural",510
"Rural",424
"Rural",371
"Rural",167
"Rural",170
"Rural",201
"Rural",266
"Rural",216
"Rural",256
"Rural",221
"Rural",316
"Rural",246
"Rural",361
"Rural",265
"Rural",149
"Rural",259
"Rural",171
"Rural",165
"Rural",334
"Rural",356
"Rural",268
"Rural",195
"Rural",228
"Rural",251
"Rural",242
"Rural",165
"Rural",287
"Rural",246
"Rural",187
"Rural",384
"Rural",182
"Rural",313
"Rural",427
"Rural",214
"Rural",326
"Rural",199
"Rural",343
"Rural",212
"Rural",192
"Rural",310
"Rural",320
"Rural",310
"Rural",341
"Rural",189
"Rural",193
"Rural",376
"Rural",202
"Rural",173
"Rural",227
"Rural",259
"Rural",296
"Rural",188
"Rural",158
"Rural",245
"Rural",247
"Rural",189
"Rural",176
"Rural",223
"Rural",332
"Rural",423
"Rural",259
"Rural",189
"Rural",156
"Rural",353
"Rural",272
"Rural",191
"Rural",542
"Rural",235
"Rural",151
"Rural",458
"Rural",458
"Rural",214
"Rural",158
"Rural",386
"Rural",495
"Rural",335
"Rural",262
"Rural",335
"Rural",275
"Rural",257
"Rural",197
"Rural",257
"Rural",338
"Rural",213
"Rural",423
"Rural",205
"Rural",212
"Rural",230
"Rural",366
"Rural",277
"Rural",164
"Rural",191
"Rural",235
"Rural",281
"Rural",312
"Rural",185
"Rural",356
"Rural",212
"Rural",318
"Rural",198
"Rural",188
"Rural",188
"Rural",202
"Rural",197
"Rural",308
"Rural",377
"Rural",279
"Rural",421
"Rural",415
"Rural",472
"Rural",306
"Rural",529
"Rural",193
"Rural",278
"Rural",212
"Rural",379
"Rural",180
"Rural",258
"Rural",236
"Rural",274
"Rural",153
"Rural",157
"Rural",149
"Rural",257
"Rural",208
"Rural",151
"Rural",214
"Rural",303
"Rural",232
"Rural",161
"Rural",258
"Rural",167
"Rural",469
"Rural",195
"Rural",164
"Rural",218
"Rural",188
"Rural",189
"Rural",279
"Rural",178
"Rural",155
"Rural",320
"Rural",219
"Rural",271
"Rural",223
"Rural",323
"Rural",219
"Rural",216
"Rural",313
"Rural",329
"Rural",185
"Rural",198
"Rural",574
"Rural",283
"Rural",479
"Rural",184
"Rural",229
"Rural",184
"Rural",217
"Rural",235
"Rural",255
"Rural",417
"Rural",237
"Rural",515
"Rural",295
"Rural",387
"Rural",335
"Rural",310
"Rural",203
"Rural",366
"Rural",289
"Rural",270
"Rural",357
"Rural",566
"Rural",190
"Rural",347
"Rural",230
"Rural",184
"Rural",195
"Rural",445
"Rural",233
"Rural",511
"Rural",261
"Rural",281
"Rural",376
"Rural",199
"Rural",441
"Rural",184
"Rural",178
"Rural",331
"Rural",386
"Rural",257
"Rural",292
"Rural",189
"Rural",183
"Rural",271
"Rural",149
"Rural",222
"Rural",167
"Rural",149
"Rural",284
"Rural",184
"Rural",356
"Rural",310
"Rural",257
"Rural",362
"Rural",217
"Rural",150
"Rural",262
"Rural",268
"Rural",188
"Rural",288
"Rural",150
"Rural",165
"Rural",197
"Rural",219
"Rural",358
"Rural",230
"Rural",247
"Rural",224
"Rural",260
"Rural",193
"Rural",195
"Rural",263
"Rural",217
"Rural",308
"Rural",229
"Rural",370
"Rural",488
"Rural",198
"Rural",433
"Rural",157
"Rural",202
"Rural",317
"Rural",323
"Rural",189
"Rural",183
"Rural",217
"Rural",380
"Rural",333
"Rural",350
"Rural",162
"Rural",218
"Rural",515
"Rural",198
"Rural",514
"Rural",307
"Rural",317
"Rural",210
"Rural",384
"Rural",189
"Rural",579
"Rural",505
"Rural",214
"Rural",288
"Rural",263
"Rural",552
"Rural",278
"Rural",267
"Rural",181
"Rural",414
"Rural",239
"Rural",161
"Rural",261
"Rural",270
"Rural",213
"Rural",349
"Rural",374
"Rural",221
"Rural",492
"Rural",320
"Rural",506
"Rural",574
"Rural",200
"Rural",297
"Rural",292
"Rural",392
"Rural",230
"Rural",234
"Rural",226
"Rural",232
"Rural",347
"Rural",342
"Rural",547
"Rural",294
"Rural",169
"Rural",366
"Rural",213
"Rural",322
"Rural",284
"Rural",330
"Rural",219
"Rural",443
"Rural",415
"Rural",185
"Rural",171
"Rural",562
"Rural",356
"Rural",179
"Rural",161
"Rural",295
"Rural",347
"Rural",232
"Rural",166
"Rural",511
"Rural",161
"Rural",427
"Rural",274
"Rural",303
"Rural",240
"Rural",188
"Rural",239
"Rural",152
"Urban",78
"Urban",212
"Urban",161
"Urban",54
"Urban",139
"Urban",306
"Urban",200
"Urban",96
"Urban",107
"Urban",231
"Urban",136
"Urban",207
"Urban",262
"Urban",210
"Urban",137
"Urban",295
"Urban",195
"Urban",140
"Urban",115
"Urban",264
"Urban",169
"Urban",167
"Urban",182
"Urban",142
"Urban",226
"Urban",303
"Urban",228
"Urban",142
"Urban",297
"Urban",171
"Urban",119
"Urban",137
"Urban",185
"Urban",165
"Urban",149
"Urban",316
"Urban",180
"Urban",195
"Urban",159
"Urban",278
"Urban",218
"Urban",179
"Urban",144
"Urban",276
"Urban",146
"Urban",89
"Urban",156
"Urban",93
"Urban",114
"Urban",70
"Urban",103
"Urban",103
"Urban",98
"Urban",180
"Urban",144
"Urban",116
"Urban",184
"Urban",110
"Urban",178
"Urban",175
"Urban",278
"Urban",212
"Urban",286
"Urban",205
"Urban",213
"Urban",149
"Urban",186
"Urban",239
"Urban",200
"Urban",156
"Urban",275
"Urban",126
"Urban",176
"Urban",346
"Urban",194
"Urban",318
"Urban",181
"Urban",149
"Urban",122
"Urban",231
"Urban",260
"Urban",254
"Urban",179
"Urban",124
"Urban",228
"Urban",218
"Urban",194
"Urban",206
"Urban",318
"Urban",159
"Urban",131
"Urban",193
"Urban",180
"Urban",132
"Urban",90
"Urban",195
"Urban",332
"Urban",233
"Urban",180
"Urban",157
"Urban",192
"Urban",155
"Urban",154
"Urban",235
"Urban",126
"Urban",159
"Urban",343
"Urban",351
"Urban",158
"Urban",180
"Urban",266
"Urban",109
"Urban",259
"Urban",269
"Urban",158
"Urban",116
"Urban",144
"Urban",239
"Urban",252
"Urban",391
"Urban",176
"Urban",336
"Urban",354
"Urban",138
"Urban",129
"Urban",178
"Urban",401
"Urban",154
"Urban",247
"Urban",78
"Urban",197
"Urban",282
"Urban",211
"Urban",193
"Urban",151
"Urban",173
"Urban",105
"Urban",75
"Urban",268
"Urban",304
"Urban",119
"Urban",253
"Urban",254
"Urban",68
"Urban",130
"Urban",211
"Urban",125
"Urban",141
"Urban",124
"Urban",288
